Created-At;From-User;Text;Id;Sentimen
05/11/2022 23.45;naluvv;@DyandraGlobal thank you dyandra! Jadi salah satu di day 1 yang kecewa banget gka bisa liat sampe perform abis, tapi gak akan kapok nonton lagi kalo yang bawa dyandra deh. Salah satu amaze adalah di sediain minum! Wait me for tds 2 ya!!!;1,59E+18;Positif
05/11/2022 23.45;markidi;@DyandraGlobal thank you so much dyandra team, big appreciation for today show! jujur dari fasilitas semua bagus staf sejauh yang aku temui semua ramah, show mulai pun crew rutin nanya nawarin air minum.;1,59E+18;Positif
05/11/2022 23.45;aruna nirac;semoga kalian sehat selalu bujang ilichil, promotor misse dyandra, dan para nctzen yang baik dan bijaksana. love y'all guys ?;1,59E+18;Positif
05/11/2022 23.46;markgeolli;@DyandraGlobal Thank you, Dyandra. Thank you, @missE konser hari ini (5 nov 2022) benar-benar bagus, efisien, tertib, dan gatau lagi deh pokoknya jadi best concert experience buat aku. Baru ini ngerasain konser yang rajin bagi2in minuman, gaada desak2an,;1,59E+18;Positif
05/11/2022 23.46;dheyy???;@nct_menfess THANK YOU DYANDRA!! SUMPAH KALIAN KEREN BANGET;1,59E+18;Positif
05/11/2022 23.48;Ev.Jiminski;congrats ya Dyandra kamu sebenarnya sudah sukses dari awal hanya karena situasi yang menghambat kemarin itu, ini namanya kesuksesan yang terhalang. tapi di malam ini kamu sudah membuktikan itu semua di mata kepalamu sendiri.. its real.. kamu BISA..?? hebat sayang. NCTZEN juga pasti bangga https://t.co/sRlnLVESTG;1,59E+18;Positif
05/11/2022 23.53;ra;@ciumanaja tapi dyandra emang bagus beda sama yang itu;1,59E+18;Positif
05/11/2022 23.55;Lulu;@DyandraGlobal Thank you dyandra!! Crewnya oke banget!!! Dan air putih dimana-mana ?? pokoknya bener-bener ga ada kurangnya asli nonton konser hari ini!! Udah pertama. Kali nonton konser kpop dan dikasih pengalaman yang luar biasa ?????;1,59E+18;Positif
05/11/2022 23.56;ye;Seneng banget makasih dyandra see u when i see u again urichil??;1,59E+18;Positif
05/11/2022 23.58;lalalovu;dyandra lu makin kece banget dah, makasih banyak ya https://t.co/WUm4x5g16b;1,59E+18;Positif
06/11/2022 00.10;Lil ?;Dyandra masih banyak masalahnya, tapi akhirnya yang trending ucapan makasih. Setelah pihaknya berani keluar dan ngomong langsung, jadi bisa mikir “oh they’re also trying, let’s loosen up for a while”;1,59E+18;Positif
06/11/2022 00.11;gal;@DyandraGlobal Aku ga nonton but thank you so much Dyandra!!!! Makasih banyak untuk staf, panitia, tim medis, security maupun polisi di belakang layar yang udah bekerja keras. Maaf atas kejadian yang tidak terduga di day 1 kemarin. You did well, selamat istirahat;1,59E+18;Positif
06/11/2022 00.14;lee;@nct_menfess makasih banget buat team dyandra, sepengalaman aku crew di lapangan super-duper baik dan friendly sabar banget terus setiap crew yang aku temuin entah untuk nanya atau yang lainnya pasti baik gaada yang jutek jadi kebawa happy aja karena crewnya baik??;1,59E+18;Positif
06/11/2022 00.17;az;@DyandraGlobal makasih banyak ya kakak dyandra, walaupun aku ga nonton tapi makasih karena udah usahain yang terbaik buat dua hari konser the link, we really appreciate it ???;1,59E+18;Positif
06/11/2022 00.19;ael;dyandra keren banget ?;1,59E+18;Positif
06/11/2022 00.25;git•;disamping masalah kemarin thanks to dyandra juga yang udah bawa ilichil ke indonesia, semoga di lain kesempatan kejadian kemarin bisa jadi bahan evaluasi buat kedepannya;1,59E+18;Positif
06/11/2022 00.25;wooh;truthfully speaking suka banget sama flownya dyandra, mereka bikin line per section dan belajar dari kemarin tadi ada crowd control crewnya di tengah2 penonton dan mereka sangat helpfull!! https://t.co/lQeWLfRGtU;1,59E+18;Positif
06/11/2022 00.31;?????;anyways, hari ini salut banget sama seluruh panitia / crew dari promotor the link jkt, Dyandra!! they did well today. semua crewnya tegas dan ramah bangettt. crewnya kesebar dimana-mana dan semuanya informatif;1,59E+18;Positif
06/11/2022 00.34;bilehh;@DyandraGlobal THANK YOUU JUGA DYANDRA UDAH BAWA ILICHILL;1,59E+18;Positif
06/11/2022 00.34;v?;@DyandraGlobal THANK YOU SO MUCH DYANDRA!!terima kasih ATAS KERJA KERASNYA!!??;1,59E+18;Positif
06/11/2022 00.36;?;@roobiatul iya dah orang-orang kenapa nyari kesalahan dyandra terus sih!!!! temen gue juga begitu dah, gak jelas. padahal dyandra udah bagus banget handle the link;1,59E+18;Positif
06/11/2022 00.47;fn ?;udah deh kpop artis semua sama dyandra aja kalo gini. crisis managementnya bagus, responsible sama semua stakeholder event juga ??;1,59E+18;Positif
06/11/2022 00.51;Peach N;Thank you dyandra the way kalian handle semua problem dari awal sampe akhir juga hebat banget, sampe dikasih voucher grab, dibagiin minum, dan staf nya ramah. Overall thank you buat @SMTOWN_JKT , @NCTsmtown_127 member, @DyandraGlobal, sekali lagi It was a great concert!! ??;1,59E+18;Positif
06/11/2022 00.54;ayangjepri;@DyandraGlobal Thanks kak and team, walaupun ga ikut nonton tapi dari berita-berita di timeline pasti susah banget buat ngurusnya, mulai dari ancaman bom dan sebagainya, hebat banget kak Dyandra and team bisa nanggepin ini dengan baik, dan alhasil day 2 bisa lancar;1,59E+18;Positif
06/11/2022 00.57;?;tapi beneran menurut aku dyandra udah keren banget handlenya, chaos kemaren juga karena oknum bukan salah promotor next kalau ada qn makin oke sih harusnya ???? https://t.co/IPZ7E9oQNO;1,59E+18;Positif
06/11/2022 00.58;nana;@DyandraGlobal THANK YOU SO MUCH KAK??? SAYANG BANYAK SAMA SEMUA staf DYANDRA?????;1,59E+18;Positif
06/11/2022 01.07;S?;@DyandraGlobal terima kasih Dyandra sudah membawa NCT 127 ke Jakarta dan terima kasih juga untuk semua yang berpartisipasi dalam konser ini??????;1,59E+18;Positif
06/11/2022 01.12;za | ? wts pc haechan & mark;RT @Mhyuvk: thanks to dyandra as well. Tbh untuk gue, konser hari ini sangat nyaman. Antre nyaman, nunggu holding nyaman, masuk venue nyaman.;1,59E+18;Positif
06/11/2022 01.13;càl;lets go promotor kuning bisa melakukan perubahan like them. big kudos to dyandra for gercep dengan segala yang harus diatasi segera. https://t.co/G4ypxaIFay;1,59E+18;Positif
06/11/2022 01.16;?tokkiki?;Pokoknya semuanya hebat!! Yang udah mau ikut peraturan hari ini dengan baik dan tertib. NCT 127 juga keren, tim dyandra juga, staf di baliknya apalagi. Keren keren ??;1,59E+18;Positif
06/11/2022 01.29;febi met haechan;stafnya dyandra keren semua, gue minta minum diambilin, minta tolong buangin sampah ditolongin, minta tolong fotoin juga difotoin, terus tadi gue ada ketinggalan totebag pas kelar konser tetep dicariin? keren banget kalian buat yang udah nolong gue makasih gitu ya?;1,59E+18;Positif
06/11/2022 01.30;nanaku?;@DyandraGlobal Sebenarnya aku masih sedih ga bisa liat encore gara-gara fans yang brutal, pengin nangis rasanya yaAllah jauh dari luar kota pertama kali konser?, karena ulah oknum fans brutal semua jadi kena imbasnya. Tapi gapapa semoga bisa menjadi pelajaran;1,59E+18;Negatif
06/11/2022 01.40;al;#TheLinkinJKT itu konser pertamaku. awalnya udah cemas duluan takut batal karena insiden day 1. tapi akhirnya kelar juga dengan aman tentram. SUMPAH dyandra responnya bagus banget buat ngatasin masalah yang ada.;1,59E+18;Positif
06/11/2022 01.50;?;Btw makasih buat dyandra, karena jujur kalian udah keren banget. Selalu ngasih minum di tengah-tengah konser, paramedis juga sat set , Cuma fansnya aja yang norak, mungkin next time keamananya boleh banget mentung orang yang udah ngrusuh;1,59E+18;Positif
06/11/2022 01.59;aling ?;@DyandraGlobal terima kasih banyak dyandra ???;1,59E+18;Positif
06/11/2022 01.59;Firina Sahara. N;RT @onyour_jmjn: Aku acungin jempol buat promotor dyandra dan misse https://t.co/mIJisRCFM9;1,59E+18;Positif
06/11/2022 02.14;paw?(?•?•?)?;please dyandra udah keren banget!!!!! thank you dyandra?? https://t.co/42aznrRjR5;1,59E+18;Positif
06/11/2022 02.15;Evelyn;Dyandra tuh dari dulu emang the best sih. https://t.co/aY0dJ5pLR5;1,59E+18;Positif
06/11/2022 02.15;cizi met 127?;Thanks for you too dyandra, i personally puas banget dari ticketing alhamdulillah dilancarkan sampai hari ini dan udah kena pcd aja ? https://t.co/6vq3oJAh6F;1,59E+18;Positif
06/11/2022 03.30;Mdy;@indogood_ @nct_menfess Dyandra Global kalo ga salah emang khusus artis Kpop deh cmiiw. Kemaren bawa Suju buat SS8. Pernah bawa Shinee dan TVXQ juga - yang pasti bukan pertama kali sih. Mereka akrab sama SM keliatannya.;1,59E+18;Positif
06/11/2022 03.54;Yuta’s OnlyFans;Thank you misse, thank you dyandra, thank you blibli, thank you polisi dan aparat, thank you semua yang udah berpartisipasi dalam membuat konser hari ini berjalan dengan lancar baik dari staf maupun para sijeuni? https://t.co/MXHqbkiPvR;1,59E+18;Positif
06/11/2022 04.19;a n i ?;Thank you Dyandra, sebelum konser banyak banget yang bilang managementnya jelek dll, tapi pas konser malah bagus banget sampe banyak bikin project adudu raksasa, photobooth dll??? https://t.co/8m7OfVcOJK;1,59E+18;Positif
06/11/2022 04.30;hÖnie slowresp;RT @Jhnfsx: Konser nct sama kickfest kemarin promotornya sama bukan sih? Dyandra? Kata fans nct dyandra bagus yang kacau penontonnya,;1,59E+18;Positif
06/11/2022 04.45;milan ?$TTC;dyandra ternyata gercep, ga seburuk mecima;1,59E+18;Positif
06/11/2022 05.07;????(sedih brutal);mending yang bawa dyandra deh, dari pada si mecima;1,59E+18;Positif
06/11/2022 05.24;?;btw ngeliat konser nct, terus dilihat dari penanganan dyandra keren deh satset. kejadian day 1 itu sih emang salah fans yang rusuh coba kalo ga rusuh pasti lancar aja sampe selesai.;1,59E+18;Positif
06/11/2022 05.35;chell;@nct_menfess @oohhongchii jujur dyandra.. keren banget:((( stafnya aduh parah selalu nawarin air ???;1,59E+18;Positif
06/11/2022 05.36;Nggi?;@DyandraGlobal Makasih banyak Dyandra keren udah datengin bujang2 aku. Walaupun ricuh di day 1, tapi gapapa deh;1,59E+18;Positif
06/11/2022 05.36;Nia *2 BADDIES ???*;terima kasih dyandra. Walaupun sedikit masih ada minusnya gapapa semoga bisa diperbaiki. Tp staf / crewnya baik² semua selalu kasih info yang baik kalo kita tanya. Sampe selesai acara aku ucapin terima kasih ke mereka karena udah kerja keras kasih yang terbaik buat aku dan fans2 lainnya. ? https://t.co/KUhmDNy4P2;1,59E+18;Positif
06/11/2022 05.40;Anindita;Sejauh ini kayaknya dyandra mau ada improve ya, sampe trendingnya Positif. Tapi emang mending sih daripada si kuning, kalo si kuning ticketingnya aja udah bikin emosi dan berakhir dengan dimaki-maki fansnya ???;1,59E+18;Positif
06/11/2022 05.50;Fififiuu;@nct_menfess Thank you dyandra. staf dan guardnya pada ramah dan asik. Mana perhatian banget ??;1,59E+18;Positif
06/11/2022 05.51;wa;sumpah ya, crew dyandra baik-baik banget sumpah;1,59E+18;Positif
06/11/2022 06.11;yaya;nah kalo kerjanya bagus kan responnya juga Positif ga kayak sebelah , thank you dyandra! https://t.co/16LadOLNg8;1,59E+18;Positif
06/11/2022 06.18;Nama tidak boleh kosong;RT @ziff312: thank you all! makasih udah tertib, makasih udah bikin member bahagia, makasih udah bikin kenangan indah sama mereka,;1,59E+18;Positif
06/11/2022 06.21;jaja ?;@nct_menfess Thank you Dyandra! You did a great job! Pertahankan kualitasnya ya! Next time coba terapin QN biar makin enak kita konsernya! Thank you so much ? @DyandraGlobal @missE;1,59E+18;Positif
06/11/2022 06.29;panggil aja pacar echan;@nctzenbase sumpah langsung netes air mata aku liatnya? dyandra thank you, you did well??? @DyandraGlobal;1,59E+18;Positif
06/11/2022 06.31;¶bunga;@DyandraGlobal very-very thank you for dyandra staf dan para pekerja lainnya yang bertugas menertibkan pas acara berlangsung. makasih atas kerja kerasnya sampe semua berjalan dengan lancar.;1,59E+18;Positif
06/11/2022 06.41;cha;Thank you illichil, thank you dyandra, thank you nctzen yang udah kondusif di day 2, thank you juga partner nontonku @skymarkiee so happy???????? https://t.co/dqp26LXGqb;1,59E+18;Positif
06/11/2022 06.51;dita;@DyandraGlobal Thank you Dyandra, konser kali ini pasti berat buat kalian mulai dari ancaman bom, day 1 ricuh, dibubarin dll, tp kalian bisa menangani itu semua dengan baik dan day 2 selesai dengan sangat baik. Jangan trauma ya :', Dyandra pasti bisa;1,59E+18;Positif
06/11/2022 06.57;piyuu kinda ia;big applause for dyandra, makasih ya day 2 bener-bener servicenya top banget, stafnya ramah https://t.co/QhtGnwl2PD;1,59E+18;Positif
06/11/2022 07.02;?;Big thanks, apesnya aku di day 1 kaget banget diberhentiin karena ga gampang dapet tiketnya. Kemaren lebih baik dari konser yang pernah aku datangi yang dipromotori sama dyandra kemaren anteng banget konsepnya bagus, banyak suguhan buat sambil nunggu waktu main gate dibuka. Next kayaknya better ga pakai ice lagi https://t.co/bfA3Z9BhuU;1,59E+18;Positif
06/11/2022 07.02;?? Fangirl & Personal Shopper | LOT79? | slow?;momen yang sejujurnya bikin nangis adalah waktu selesai konser dan mau keluar hall. staf dyandra ga berenti bilang “terima kasih ya kak “ ke kita yang nonton. kebayang burden mereka di hari kedua tuh segede apa karena 10 orang pingsan konser akan distop.;1,59E+18;Positif
06/11/2022 07.03;Anindita;@endangaarr Tapi diliat-liat kemaren mendingan kok si Dyandra. Baca igs katanya next event mau pake QN. Jadi kayaknya mending dia daripada si kuning, si kuning mah ga mau terima kritik jadi ga maju-maju;1,59E+18;Positif
06/11/2022 07.21;leaa??;@DyandraGlobal Dyandra thank you ya, pasti kalian udah kerja keras sampai day 2 tetap bisa dilaksanakan, thank you so much??????????;1,59E+18;Positif
06/11/2022 07.22;ara?~(????);eh tapi iya dyandra oke banget sempet dikasih break buat ditawarin minum ga lagi break juga ada aja mas-mas yang “mba minum ga mba tanya temen di sebelahnya”;1,59E+18;Positif
06/11/2022 07.27;markleecanada;Dyandra Nya mah udah oke banget, 1 hal yang ga terlupakan adalah stage dan stafnya baik dan ramah banget ? #THELINKTourJakarta;1,59E+18;Positif
06/11/2022 07.36;Hanum;terima kasih dyandra?? https://t.co/4eWFkqRGlY;1,59E+18;Positif
06/11/2022 07.36;Ayang Cikita;Salfok emang crew dyandra pada cakep-cakep;1,59E+18;Positif
06/11/2022 07.52;nadz ?.?;User, guard dan staf disana beneran ramah, baik dan informatif. Aku kebantu banget nanya-nanya mereka. Dijelasin secara detail. Ditawarin air terus pas konser jalan. 10+++++ ???????????? buat tim dyandra semuanya ???????? KEREN;1,59E+18;Positif
06/11/2022 07.58;Lilyana_Byeol;RT @13njmnchoco: bahagia banget untuk day 2 ini, terima kasih untuk semuanya, kerja kerasnya dan kerjasamanya karena bisa tertib.;1,59E+18;Positif
06/11/2022 08.01;Lilyana_Byeol;RT @yuhuuuu27: Thank you semuanya?? buat sijeuni yang udah tertib kalian keren banget? Buat semua staf terima kasih banyak sudah bekerja keras;1,59E+18;Positif
06/11/2022 08.06;IrzsaThecoconut;@DyandraGlobal Thank You banyak-banyak Buat Dyandra Global Kalian luar biasa dan juga MissE keren banget semua pokoknya Team kalian gercep juga menanggapi permasalahan pokoknya gaada yang bisa diungkapkan selain Thank you???;1,59E+18;Positif
06/11/2022 08.06;Ciyayociyayo;Akhirnya aku baru bisa masuk sekitar jam 17.38 karena harus gantian sama section lainnya, disini tertib banget staf dyandra pun super baik banget sampe senyumin dan semangatin kita bilang have fun ya nontonnya. Btw mereka juga bagi2 minuman ya aku ambil 2 https://t.co/VEh7ZfMntc;1,59E+18;Positif
06/11/2022 08.06;nanda ? ? ? ??.;Dah dah balik ges. Thank you Ilichil, chilzen, dyandra dan tempat penginapanku. Saya pamit pulang pengin pijet?? https://t.co/NSC8yzo7Ap;1,59E+18;Positif
06/11/2022 08.17;shaa?;@DyandraGlobal makasih dyandra, next harus lebih keren lagi ya. selamat evaluasi dan istirahat??;1,59E+18;Positif
06/11/2022 08.23;ell;@DyandraGlobal MAKASHI DYANDRA KALIAN KEREN BANGET!!;1,59E+18;Positif
06/11/2022 08.24;Jey | NOBAR NCT DREAM MOVIE On ?;RT @jaejiparkeu: big applause for dyandra, makasih ya day 2 bener-bener servicenya top banget, stafnya ramah;1,59E+18;Positif
06/11/2022 08.36;MayJination ?;Ticketing Nya dyandra lebih merakyat daripada mecimapro;1,59E+18;Positif
06/11/2022 08.40;Ulzaar;@DyandraGlobal terima kasih banyak Dyandra! Semoga kedepannya menjadi lebih baik lagi;1,59E+18;Positif
06/11/2022 08.45;??;Bahkan Dyandra udah jauh lebih baik dibandingkan waktu konser EXO 3 tahun yang lalu, gue aja sampe kaget.;1,59E+18;Positif
06/11/2022 08.51;humas polresta110;RT @Iinekaswtry: Thank you dyandra , thank you urichil, thank you sijeuni, thank you, polisi dan staf yang bertugas. terima kasih;1,59E+18;Positif
06/11/2022 08.58;lis?;THANK YOU DYANDRA KONSERNYA KEREN BANGET?? https://t.co/oxavpSItn2;1,59E+18;Positif
06/11/2022 08.59;A;@DyandraGlobal baru kali ini aku ga nonton konsernya tapi aku pantau terus keadaannya dari berbagai macam platform media sama berita. dari awal banget nct 127 sampai di bandara sampe day 2 berakhir, terharu banget perasaanku campur aduk ngeliatnya?? thank you dyandra;1,59E+18;Positif
06/11/2022 08.59;doy;thank you Dyandra? kalo bawa anak SM lagi semoga aku bisa dapet tiketnya??? https://t.co/6pO0pMiOPk;1,59E+18;Positif
06/11/2022 09.09;hiatus;see, dyandra tuh best banget ? https://t.co/oBlZLAsYVv;1,59E+18;Positif
